제목,가격,등수,연도
서울 보통 시 (서울 사람의 보통 이야기),"15,390",시/에세이 37위,2024.01.24.
"슬퍼하지 말아요, 곧 밤이 옵니다 (헤르만 헤세 시 필사집)","16,930",시/에세이 88위,2024.01.20.
꽃이 사람이다 (꽃 내음 그윽한 풀꽃문학관 편지),"14,256",시/에세이 46위,2024.01.30.
오래 보고 싶었다 (내일 더 빛날 당신을 위한 위로),"14,540",시/에세이 124위,2023.10.05.
내가 생각한 인생이 아니야 (인생의 가장 큰 선물은 다른 인생),"14,540",시/에세이 11위,2023.12.21.
보편의 단어 (당신의 삶을 떠받치고 당신을 살아가게 하는),"10,800",시/에세이 8위,2024.01.11.
새벽과 음악,"16,200",시/에세이 22위,2024.01.25.
사랑인 줄 알았는데 부정맥 (노인들의 일상을 유쾌하게 담다),"11,340",시/에세이 3위,2024.01.17.
보통 이하의 것들,"13,680",시/에세이 114위,2023.12.31.
"읽을, 거리 (김민정의 1월)","10,530",시/에세이 104위,2024.01.01.
내가 한 말을 내가 오해하지 않기로 함 (빠더너스 문상훈 책),"16,200",시/에세이 7위,2024.01.05.
세상을 받아들이는 방식,"11,970",시/에세이 121위,2024.01.02.
정신머리 (박참새 시집),"18,810",시/에세이 43위,2023.12.15.
그대는 나의 여름이 되세요 (서덕준 시선집),"12,830",시/에세이 54위,2023.12.14.
별의 길 (양세형 시집),"9,450",시/에세이 30위,2023.12.04.
"푸바오, 언제나 사랑해","16,930",시/에세이 2위,2024.01.15.
꽃을 보듯 너를 본다 (나태주 시집),"13,680",시/에세이 27위,2020.11.30.
너무 잘하려고 애쓰지 마라 (나태주 시집),"10,080",시/에세이 125위,2022.05.31.
하는 일마다 잘되리라 (당신이 어디에 있든 무엇을 하든),"10,260",시/에세이 10위,2023.11.13.
마음챙김의 시,"7,560",시/에세이 101위,2020.09.17.
듣는 사람,"14,540",시/에세이 56위,2024.01.15.
고통 없는 사랑은 없다 (정호승의 시가 있는 산문집),"10,710",시/에세이 16위,2024.01.29.
까다롭게 좋아하는 사람,"11,800",시/에세이 42위,2024.01.20.
사랑을 무게로 안 느끼게 (박완서 에세이),"8,730",시/에세이 5위,2024.01.23.
선릉과 정릉 (전욱진의 2월),"20,700",시/에세이 140위,2024.02.01.
내가 아직 쓰지 않은 것 (문학동네시인선 001~199 시인의 말 모음집),"9,410",시/에세이 79위,2023.10.16.
지금 알고 있는 걸 그때도 알았더라면 (잠언 시집),"11,970",시/에세이 139위,2014.12.03.
이해인의 햇빛 일기 (작은 위로가 필요한 아픈 이들을 위하여),"4,900",시/에세이 150위,2023.10.16.
바다는 잘 있습니다 (이병률 시집),"12,600",시/에세이 112위,2017.09.20.
유퀴즈에서 만난 사람들 (모든 사람은 한 편의 드라마다),"16,200",시/에세이 131위,2024.02.01.
